Model,Horizon,MSE_mean,MSE_std,MSE_q25,MSE_median,MSE_q75,MAE_mean,MAE_std,MAE_q25,MAE_median,MAE_q75,sMAPE_mean,sMAPE_std,SampleCount
PGF-Net,18,0.4394483062462525,0.6751208849309537,0.04715764021727655,0.1545839820718734,0.532003710998843,0.5216781212606885,0.4160158866879108,0.21709881857236218,0.3931409156799316,0.7289721404393514,50.581682535540104,34.05877513039235,30
PGF-Net,19,0.8513968951751401,1.4539992964276192,0.08971011178455228,0.3282329172172104,0.7567734199662138,0.6947816740917024,0.6175664034000058,0.29904754819075263,0.5725539129756746,0.8694635399023692,66.00310604768234,51.62365767402337,30
PGF-Net,20,0.5742306543163908,0.5466160891270149,0.25170893361605196,0.42061957346629336,0.7645329733147758,0.6606470139059945,0.37752758839607375,0.5006359615405401,0.6485248370647431,0.8742364839985257,62.66825598527704,43.73697618207732,30
PGF-Net,21,1.7343008928617487,5.4539838175880835,0.11208557076396422,0.3072780376586506,0.6623808286013017,0.7936902508143773,1.06884888707623,0.33404585455258684,0.5541569620291392,0.8138078950564067,61.282315718864844,52.92494078787096,30
PGF-Net,22,0.5588901146056561,0.9162946479748462,0.05707403713115083,0.1583672329644949,0.6036621302041274,0.5698282312108599,0.49220044436719845,0.23887169868151342,0.3979530677795411,0.7751993130922317,50.15443872893912,43.017029589983956,30
PGF-Net,23,0.7842076749509241,1.4487563375788555,0.0832840080267512,0.46716754038588726,0.8266746654483346,0.6801713887747071,0.576769741461348,0.28853423900604247,0.6833573765436809,0.9091172341346742,71.4753192806375,55.22041866050792,30
PGF-Net,24,1.1177822649069336,2.917947839377762,0.04142545834626703,0.2114166732073908,0.6977063966977671,0.7073936450896188,0.7991654024520203,0.19553720073699943,0.45965093015034986,0.8352673538684845,67.19308226507125,53.097945862838706,30
S-Naive,1,0.7895395186455041,1.7439001638233675,0.0016599633333333,0.0495937072222222,0.9769236144444444,0.5485961837503363,0.7109355753003643,0.0406,0.22268333333333334,0.9872166666666666,50.50794783676835,51.73525028945558,30
S-Naive,2,1.0802000691815947,1.5056404793021745,0.025983190833333322,0.3374571132794787,1.529228600833333,0.7797608730158729,0.6988954710174785,0.16057499999999997,0.5807130952380954,1.2365249999999999,65.78859771346343,46.64216741012802,30
S-Naive,3,0.8724287419276265,1.089322397455862,0.011633347777777775,0.1821973211111111,1.9174495344444442,0.695859761904762,0.6337147735073922,0.10708333333333359,0.4248333333333334,1.3836333333333333,54.930546922152374,47.26277580951929,30
