OriginIndex,Horizon,Reference,Baseline,LossDifferential
18,3,PGF-Net,DLinear,0.5822029096529047
18,4,PGF-Net,DLinear,1.666060260740767
18,5,PGF-Net,DLinear,2.5680162728213913
18,6,PGF-Net,DLinear,1.2417471847935642
18,7,PGF-Net,DLinear,0.6822990869386198
18,8,PGF-Net,DLinear,0.0939667339503888
18,9,PGF-Net,DLinear,0.1493998934683562
18,10,PGF-Net,DLinear,0.0950912692036343
18,11,PGF-Net,DLinear,0.035654249979786605
18,12,PGF-Net,DLinear,-0.087494408162915
18,13,PGF-Net,DLinear,0.1304576105884269
18,14,PGF-Net,DLinear,0.016668967349963704
18,15,PGF-Net,DLinear,0.689487803625829
18,16,PGF-Net,DLinear,0.3536552820895296
18,17,PGF-Net,DLinear,0.3040574851401845
18,18,PGF-Net,DLinear,0.4152705323074687
18,19,PGF-Net,DLinear,-0.29250361531740665
18,20,PGF-Net,DLinear,-1.2496246323807128
18,21,PGF-Net,DLinear,-0.6911389014914366
18,22,PGF-Net,DLinear,-0.0010093404063381967
18,23,PGF-Net,DLinear,0.023731321708757004
18,24,PGF-Net,DLinear,0.763385666035391
19,1,PGF-Net,DLinear,0.41534914483643753
19,2,PGF-Net,DLinear,-0.43284273304304266
19,3,PGF-Net,DLinear,-0.1022005864043965
19,4,PGF-Net,DLinear,-0.4038393709504858
19,5,PGF-Net,DLinear,-0.39885405503286675
19,6,PGF-Net,DLinear,-0.2510633148356337
19,7,PGF-Net,DLinear,0.0445097543662087
19,8,PGF-Net,DLinear,0.15011104800883948
19,9,PGF-Net,DLinear,0.0320421068143747
19,10,PGF-Net,DLinear,0.009384811467678899
19,11,PGF-Net,DLinear,0.009080815582227501
19,12,PGF-Net,DLinear,-0.041388885306289
19,13,PGF-Net,DLinear,-0.056384074149857695
19,14,PGF-Net,DLinear,-0.060799890751845
19,15,PGF-Net,DLinear,0.2519707363716449
19,16,PGF-Net,DLinear,0.0544628530684322
19,17,PGF-Net,DLinear,-0.6011861320871408
19,18,PGF-Net,DLinear,-0.0414005403073717
19,19,PGF-Net,DLinear,0.0455248581258235
19,20,PGF-Net,DLinear,0.2772015822988694
19,21,PGF-Net,DLinear,0.24212168478545115
19,22,PGF-Net,DLinear,0.0157173673806899
19,23,PGF-Net,DLinear,-0.619780156227987
19,24,PGF-Net,DLinear,-0.008984188541917602
20,1,PGF-Net,DLinear,-0.2249719458013125
20,2,PGF-Net,DLinear,-0.09398767573922459
20,3,PGF-Net,DLinear,-0.5850355662039919
20,4,PGF-Net,DLinear,-0.5692612107492725
20,5,PGF-Net,DLinear,0.043356542404427
20,6,PGF-Net,DLinear,0.1868147498315342
20,7,PGF-Net,DLinear,0.3682245023169213
20,8,PGF-Net,DLinear,0.1485499331012765
20,9,PGF-Net,DLinear,0.2645903669506834
20,10,PGF-Net,DLinear,0.43290307963368724
20,11,PGF-Net,DLinear,0.07868202906669008
20,12,PGF-Net,DLinear,-0.15702780724417575
20,13,PGF-Net,DLinear,-0.10379816233854801
20,14,PGF-Net,DLinear,-0.4307947018122636
20,15,PGF-Net,DLinear,-0.7425567335808967
20,16,PGF-Net,DLinear,-0.6936119263324183
20,17,PGF-Net,DLinear,-0.14152794615538739
20,18,PGF-Net,DLinear,0.4256869753364329
20,19,PGF-Net,DLinear,0.0604142073676339
20,20,PGF-Net,DLinear,-0.2512636058269531
20,21,PGF-Net,DLinear,-0.9268001186756226
20,22,PGF-Net,DLinear,-0.7309714466584915
20,23,PGF-Net,DLinear,-0.6710402817997171
20,24,PGF-Net,DLinear,-0.13844974226668272
21,1,PGF-Net,DLinear,0.07423245923617411
21,2,PGF-Net,DLinear,-0.2537972761859213
21,3,PGF-Net,DLinear,0.019751303281507097
21,4,PGF-Net,DLinear,0.0725260596011155
21,5,PGF-Net,DLinear,0.0520230666764861
21,6,PGF-Net,DLinear,-0.0019367696992282912
21,7,PGF-Net,DLinear,0.0642204574457019
21,8,PGF-Net,DLinear,0.12500801611264076
21,9,PGF-Net,DLinear,-0.0263572917717735
21,10,PGF-Net,DLinear,0.014074684604994597
21,11,PGF-Net,DLinear,-0.0087842021615269
21,12,PGF-Net,DLinear,-0.0027917252711296
21,13,PGF-Net,DLinear,-0.1044723929004178
21,14,PGF-Net,DLinear,-0.5088861688659734
21,15,PGF-Net,DLinear,-0.40350626450294347
21,16,PGF-Net,DLinear,-0.138846142305431
21,17,PGF-Net,DLinear,-0.0555879618222186
21,18,PGF-Net,DLinear,0.069214741823529
21,19,PGF-Net,DLinear,0.3904451540483621
21,20,PGF-Net,DLinear,1.0150628115158327
21,21,PGF-Net,DLinear,0.5874229192389173
21,22,PGF-Net,DLinear,0.7212765297473755
21,23,PGF-Net,DLinear,0.5368908020779382
21,24,PGF-Net,DLinear,0.00444169628593577
22,1,PGF-Net,DLinear,0.2150431950724352
22,2,PGF-Net,DLinear,0.010904074518105933
22,3,PGF-Net,DLinear,-0.5476602784857956
22,4,PGF-Net,DLinear,-0.37995708540346684
22,5,PGF-Net,DLinear,-0.5683722821578905
22,6,PGF-Net,DLinear,0.04531339331915435
22,7,PGF-Net,DLinear,0.1310254891717626
22,8,PGF-Net,DLinear,0.1929059189137749
22,9,PGF-Net,DLinear,0.08960598015505
22,10,PGF-Net,DLinear,0.0699474613415342
22,11,PGF-Net,DLinear,0.0265766064458057
22,12,PGF-Net,DLinear,-0.0318534453817569
22,13,PGF-Net,DLinear,-0.042208658942733
22,14,PGF-Net,DLinear,-0.4298870201430104
22,15,PGF-Net,DLinear,-0.9947953805980152
22,16,PGF-Net,DLinear,-0.960597785484042
22,17,PGF-Net,DLinear,-0.5647032216510752
