Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
1,0.1509840544444444,0.3885666666666666,55.66724727919164,UCI Household,S-Naive,11,2010-07-10 17:00:00
2,0.0232359211111111,0.1524333333333333,29.705413981888857,UCI Household,S-Naive,11,2010-07-10 17:00:00
3,0.123201,0.3510000000000001,49.24702986684808,UCI Household,S-Naive,11,2010-07-10 17:00:00
4,0.0533148100000001,0.2309000000000002,21.447480355534594,UCI Household,S-Naive,11,2010-07-10 17:00:00
5,0.0286060844444444,0.1691333333333333,32.81593552435711,UCI Household,S-Naive,11,2010-07-10 17:00:00
6,0.6920021511111113,0.8318666666666668,79.29336218682667,UCI Household,S-Naive,11,2010-07-10 17:00:00
7,0.8717956899999999,0.9337,112.0103962090749,UCI Household,S-Naive,11,2010-07-10 17:00:00
8,0.08602489,0.2933,59.298446009046266,UCI Household,S-Naive,11,2010-07-10 17:00:00
9,0.00063504,0.0252,6.039303330732106,UCI Household,S-Naive,11,2010-07-10 17:00:00
10,0.0001060899999999,0.0102999999999999,2.491232283332534,UCI Household,S-Naive,11,2010-07-10 17:00:00
11,0.5985601111111112,0.7736666666666667,103.43137185763344,UCI Household,S-Naive,11,2010-07-10 17:00:00
12,0.00170569,0.0413,11.377932714386343,UCI Household,S-Naive,11,2010-07-10 17:00:00
13,0.0211120899999999,0.1452999999999999,34.00023360243086,UCI Household,S-Naive,11,2010-07-10 17:00:00
14,0.1649442844444445,0.4061333333333334,73.2167531408862,UCI Household,S-Naive,11,2010-07-10 17:00:00
15,4.694444444444372e-06,0.0021666666666666,0.6409940243430645,UCI Household,S-Naive,11,2010-07-10 17:00:00
16,3.560111111111122e-05,0.0059666666666666,1.1616210665989726,UCI Household,S-Naive,11,2010-07-10 17:00:00
17,2.33661796,1.5286,124.88221947299004,UCI Household,S-Naive,11,2010-07-10 17:00:00
18,0.2408192044444445,0.4907333333333334,38.039377662500485,UCI Household,S-Naive,11,2010-07-10 17:00:00
19,0.976144,0.988,100.80261137530977,UCI Household,S-Naive,11,2010-07-10 17:00:00
20,0.0724865877777777,0.2692333333333333,48.81394812666775,UCI Household,S-Naive,11,2010-07-10 17:00:00
21,0.6171673599999999,0.7856,68.17866205083317,UCI Household,S-Naive,11,2010-07-10 17:00:00
22,2.578914810000001,1.6059,125.45603638351612,UCI Household,S-Naive,11,2010-07-10 17:00:00
23,0.8363102499999999,0.9145,93.47052062005082,UCI Household,S-Naive,11,2010-07-10 17:00:00
24,0.0463684444444444,0.2153333333333333,28.75072302672089,UCI Household,S-Naive,11,2010-07-10 17:00:00
1,0.0004161599999999,0.0203999999999999,6.704644938026203,UCI Household,S-Naive,12,2010-07-17 17:00:00
2,0.0001047211111111,0.0102333333333333,3.424237297012384,UCI Household,S-Naive,12,2010-07-17 17:00:00
3,0.0005413377777777,0.0232666666666667,6.946655947253359,UCI Household,S-Naive,12,2010-07-17 17:00:00
4,0.5384135211111112,0.7337666666666667,113.69470252541356,UCI Household,S-Naive,12,2010-07-17 17:00:00
5,0.0475966944444444,0.2181666666666667,27.287319251502044,UCI Household,S-Naive,12,2010-07-17 17:00:00
6,0.18939904,0.4352,45.95564917658052,UCI Household,S-Naive,12,2010-07-17 17:00:00
